"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Disc Golf Association (DGA)","Steady - Beadless (BL)","176.0","21.2","2.5","1.5","19.0","1.1","7.1","64.75","6.92","","","","18-54","Jun 21, 2018"
"Gateway Disc Sports","Slayer (retooled)","175.1","21.1","1.5","1.2","16.4","2.3","5.7","30.00","9.30","","","","18-50","Jun 21, 2018"
"Infinite Discs","Anubis","180.9","21.8","2.1","1.3","18.7","1.4","6.0","50.00","9.19","","","","18-51","Jun 21, 2018"
"Guru Disc Golf","Fenris","176.0","21.2","1.7","1.1","16.2","2.5","5.2","26.00","10.66","","","","18-46","May 31, 2018"
"Black Zombie Disc Golf","Berzerker","177.6","21.4","1.6","1.1","17.0","2.2","5.1","29.50","10.55","","","","18-47","May 31, 2018"
"FLYTEC","Bull Bay","176.0","21.2","2.0","1.4","19.2","1.0","6.6","47.75","4.88","","","","18-41","May 9, 2018"
"FLYTEC","Oak","175.1","21.1","2.0","1.2","17.2","2.0","5.7","32.50","8.39","","","","18-42","May 9, 2018"
"FLYTEC","Willow","178.5","21.5","2.1","1.4","18.9","1.2","6.5","47.00","6.46","","","","18-43","May 9, 2018"
"Latitude 64","Musket","176.0","21.2","1.8","1.1","17.1","2.0","5.2","28.50","10.55","","","","18-45","May 9, 2018"
"Obsidian Discs Oy","Rift","176.0","21.2","1.5","1.2","17.0","2.1","5.7","29.00","10.32","","","","18-40","May 9, 2018"
"Streamline Discs","Drift","176.0","21.2","1.8","1.2","17.7","1.8","5.7","33.00","9.30","","","","18-44","May 9, 2018"
"Prodigy Disc","H2 V2 (retooled H2)","177.6","21.4","1.6","1.2","17.4","2.0","5.6","28.00","8.39","","","","18-38","Apr 20, 2018"
"Prodigy Disc","H4 (retooled)","176.8","21.3","1.5","1.2","17.4","2.0","5.6","29.00","8.50","","","","18-39","Apr 20, 2018"
"Infinite Discs","Myth","176.0","21.2","2.1","1.5","19.0","1.1","7.1","68.75","9.07","","","","18-29","Mar 29, 2018"
"Discmania","FD2 (retooled Fairway Driver)","176.0","21.2","1.6","1.1","17.5","1.8","5.2","33.75","12.13","","","","18-26","Mar 29, 2018"
"Infinite Discs","Sphinx","175.1","21.1","1.6","1.1","17.3","1.9","5.2","30.75","11.79","","","","18-30","Mar 29, 2018"
"Infinite Discs","Tomb","176.8","21.3","1.6","1.3","19.1","1.1","6.1","65.50","7.60","","","","18-31","Mar 29, 2018"
"Discmania","MD5 (Midrange Driver)","175.1","21.1","1.9","1.3","18.3","1.4","6.2","62.25","11.91","","","","18-27","Mar 29, 2018"
"Axiom Discs","Excite","175.1","21.1","2.1","1.2","15.9","2.5","5.7","27.00","11.91","","","","18-28","Mar 25, 2018"
"Axiom Discs","Tantrum","175.1","21.1","1.9","1.2","16.0","2.5","5.7","26.75","12.13","","","","18-25","Mar 15, 2018"
"Kestrel Outdoors","Beginner Fairway Driver","174.3","21.0","1.5","1.1","17.6","1.7","5.2","29.00","7.14","","","","18-22","Mar 15, 2018"
"Kestrel Outdoors","Beginner Mid-Range","175.1","21.1","1.9","1.2","19.1","1.0","5.7","58.75","6.46","","","","18-23","Mar 15, 2018"
"Kestrel Outdoors","Beginner Putter","176.0","21.2","1.9","1.6","19.6","0.8","7.5","104.25","7.03","","","","18-24","Mar 15, 2018"
"Infinite Discs","Chariot","180.9","21.8","1.7","1.4","19.0","1.4","6.4","51.50","9.07","","","","18-22","Feb 26, 2018"
"Innova-Champion Discs","Caiman","175.1","21.1","1.7","1.4","18.3","1.4","6.6","66.50","11.68","","","","18-27","Feb 26, 2018"
"Disc Golf Association (DGA)","Banzai","177.6","21.4","1.7","1.2","17.5","1.9","5.6","30.00","11.34","","","","18-98","Feb 26, 2018"
"Discraft","Vulture","177.6","21.4","1.6","1.2","17.8","1.8","5.6","33.50","10.89","","","","18-97","Feb 26, 2018"
"MVP Disc Sports","Deflector","178.5","21.5","2.0","1.3","18.3","1.6","6.0","40.00","10.77","","","","18-28","Feb 26, 2018"
"RPM Discs/Disc Golf Aotearoa","Kea (MR2)","176.0","21.2","1.9","1.4","18.0","1.4","6.6","62.75","11.11","","","","18-29","Feb 26, 2018"
"Black Zombie Disc Golf","Crossbow","181.8","21.9","1.6","1.2","19.1","1.4","5.5","32.75","8.85","","","","18-26","Feb 26, 2018"
"Prodigy Disc","H1 (retooled H1)","177.6","21.4","1.6","1.2","17.4","2.0","5.6","28.00","9.19","","","","18-15","Feb 8, 2018"
"Westside Golf Discs","Anvil","176.8","21.3","1.8","1.2","18.3","1.5","5.6","41.75","11.57","","","","18-18","Feb 8, 2018"
"Westside Golf Discs","Maiden","176.0","21.2","1.8","1.3","19.2","1.0","6.1","57.75","11.79","","","","18-19","Feb 8, 2018"
"Prodigy Disc","H3 V2 (retooled H3)","176.8","21.3","1.8","1.2","17.3","2.0","5.6","30.75","9.19","","","","18-16","Feb 8, 2018"
"Albatrossdisc","Albatrossdisc Driver","174.3","21.0","1.6","1.2","17.5","0.9","5.7","28.25","8.50","","","","18-09","Feb 8, 2018"
"Albatrossdisc","Albatrossdisc Midrange","175.1","21.1","1.9","1.3","19.0","1.0","6.2","61.00","6.58","","","","18-10","Feb 8, 2018"
"Prodigy Disc","H5","176.8","21.3","1.7","1.2","17.4","2.0","5.6","37.50","9.30","","","","18-17","Feb 8, 2018"
"Albatrossdisc","Albatrossdisc Putter","176.0","21.2","2.1","1.6","19.6","0.8","7.5","101.75","7.94","","","","18-11","Feb 8, 2018"
"Westside Golf Discs","War Horse","175.1","21.1","1.6","1.2","16.6","2.2","5.7","28.00","12.02","","","","18-20","Feb 8, 2018"
